user_id,login,name,total_repos,total_stars_received,total_forks_received,avg_stars_per_repo,account_age_days,repos_per_year,followers,following,follower_ratio,h_index,impact_score,primary_languages,primary_language_1,language_diversity,industries_served,primary_industry,has_readme_pct,has_license_pct,total_open_issues,days_since_last_push,is_active
156117774,TechAtlasDev,Giovanny A. Jimenez,6,9,1,1.5,795,2.7547169811320757,22,8,2.75,1,33,"Python, TypeScript",Python,2,4,J,0.8333333333333334,0.5,0,113,False
139504059,JaremGallegos,Joseph Gallegos,9,9,0,1.0,975,3.3692307692307693,293,601,0.4875207986688852,1,302,"Rust, Makefile, JavaScript",Rust,5,2,J,0.8888888888888888,0.6666666666666666,0,17,True
18422289,FrankSVP,FrankSVP,15,27,17,1.8,3624,1.5107615894039736,128,12,10.666666666666666,3,189,"C#, Java, Python",C#,5,4,J,0.3333333333333333,0.0,0,44,True
76791753,rodolfo-riveros,,2,3,1,1.5,1900,0.38421052631578945,0,0,0.0,1,5,"PHP, Blade",PHP,2,2,J,1.0,0.0,0,248,False
10949373,WCNosliwsys,Wilson Callisaya,1,2,1,2.0,4050,0.09012345679012344,12,0,12.0,1,16,Dart,Dart,1,1,J,1.0,0.0,3,1042,False
25406162,brunonavarro,Bruno Navarro,3,22,0,7.333333333333333,3332,0.3286314525810324,6,8,0.75,3,28,Kotlin,Kotlin,1,1,J,1.0,1.0,3,404,False
18016035,nhuamani,Nilton Huamaní,29,29,0,1.0,3644,2.9047749725576293,9,27,0.3333333333333333,1,38,"JavaScript, Java, TypeScript",JavaScript,10,2,J,0.8620689655172413,0.4482758620689655,24,297,False
37123867,DanielMartinAlarcon,Daniel Martin-Alarcon,4,20,3,5.0,2930,0.4982935153583618,34,0,34.0,2,60,"Jupyter Notebook, HTML",Jupyter Notebook,2,4,M,1.0,1.0,10,1193,False
11638149,mayconxhh,Maycon Xavier H H,2,2,0,1.0,4008,0.18213572854291415,12,14,0.8571428571428571,1,14,"TypeScript, JavaScript",TypeScript,2,1,J,1.0,0.0,23,1163,False
89100676,BMRCVIP,Brandon Rodriguez,1,1,0,1.0,1670,0.21856287425149704,1,1,1.0,1,2,Java,Java,1,1,M,0.0,0.0,0,1235,False
54775933,Luaylin,Jorge Luis Calle Morales,1,1,0,1.0,2386,0.15297569153394802,3,2,1.5,1,4,Dart,Dart,1,1,G,1.0,0.0,0,1247,False
108824074,arnoldbgm,Arnold Gallegos,8,9,2,1.125,1347,2.1677802524127694,61,3,20.333333333333332,1,74,"JavaScript, Python",JavaScript,2,2,J,0.75,0.0,0,7,True
16768318,csaybar,Cesar Aybar,33,315,137,9.545454545454545,3708,3.248381877022654,555,67,8.283582089552239,7,1144,"Python, R, Jupyter Notebook",Python,6,5,M,0.9393939393939394,0.6666666666666666,21,362,False
5783264,AdrianFullStack, Adrián Suclupe,1,4,0,4.0,4522,0.08071649712516586,3,1,3.0,1,7,JavaScript,JavaScript,1,1,J,1.0,0.0,0,697,False
108639529,dunlk,Milton Omar Ytusaca Vilca,1,2,2,2.0,1350,0.27037037037037037,2,7,0.2857142857142857,1,8,JavaScript,JavaScript,1,1,P,1.0,0.0,0,1350,False
18562089,feyaluciano,feyaluciano,1,1,1,1.0,3616,0.10094026548672566,2,16,0.125,1,5,C#,C#,1,1,J,0.0,0.0,0,1440,False
12465979,dvolkow,Daniel Wolkow,5,6,0,1.2,3956,0.461324570273003,10,12,0.8333333333333334,1,16,"Python, C++, TeX",Python,4,2,M,1.0,0.6,13,1456,False
98637169,RodrigoChumpitaz,Rodrigo Chumpitaz,3,8,1,2.6666666666666665,1506,0.7270916334661355,16,5,3.2,2,26,"TypeScript, JavaScript",TypeScript,2,1,J,1.0,0.0,0,447,False
101151458,AngelaTestino,Angela Testino,3,4,1,1.3333333333333333,1468,0.7459128065395095,9,11,0.8181818181818182,1,15,JavaScript,JavaScript,1,2,J,0.3333333333333333,0.0,0,1011,False
178603947,luis-huaney-lino-devops,Luis Alberto Huaney Lino,2,4,1,2.0,575,1.2695652173913043,1,2,0.5,2,7,"JavaScript, TypeScript",JavaScript,2,1,J,1.0,1.0,1,51,True
